,hgnc_symbol,Gene
243,ATP5F1,ENSG00000116459
244,RAP1A,ENSG00000116473
245,HDAC1,ENSG00000116478
246,CAPZA1,ENSG00000116489
247,S100PBP,ENSG00000116497
248,RNF19B,ENSG00000116514
249,SCAMP3,ENSG00000116521
250,TRIM62,ENSG00000116525
251,ASH1L,ENSG00000116539
252,DLGAP3,ENSG00000116544
253,SFPQ,ENSG00000116560
254,RHOU,ENSG00000116574
255,GON4L,ENSG00000116580
256,ARHGEF2,ENSG00000116584
257,ROBLD3,ENSG00000116586
258,MEF2D,ENSG00000116604
259,DOCK7,ENSG00000116641
260,SRM,ENSG00000116649
261,DLEU2L,ENSG00000116652
262,FBXO2,ENSG00000116661
263,FBXO6,ENSG00000116663
264,C1orf21,ENSG00000116667
265,C1orf26,ENSG00000116668
266,MAD2L2,ENSG00000116670
267,DNAJC6,ENSG00000116675
268,LEPR,ENSG00000116678
269,IVNS1ABP,ENSG00000116679
270,KIAA2013,ENSG00000116685
271,MFN2,ENSG00000116688
272,PRG4,ENSG00000116690
273,MIIP,ENSG00000116691
274,SMG7,ENSG00000116698
275,NCF2,ENSG00000116701
276,PDC,ENSG00000116703
277,SLC35D1,ENSG00000116704
278,PLA2G4A,ENSG00000116711
279,GADD45A,ENSG00000116717
280,PRAMEF1,ENSG00000116721
281,PRAMEF12,ENSG00000116726
282,GPR177,ENSG00000116729
283,PRDM2,ENSG00000116731
284,RGS2,ENSG00000116741
285,RPE65,ENSG00000116745
286,TROVE2,ENSG00000116747
287,AMPD1,ENSG00000116748
288,UCHL5,ENSG00000116750
289,BCAS2,ENSG00000116752
290,SFRS11,ENSG00000116754
291,CTH,ENSG00000116761
292,AGMAT,ENSG00000116771
293,OLFML3,ENSG00000116774
294,TNNI3K,ENSG00000116783
295,CFHR3,ENSG00000116785
296,PLEKHM2,ENSG00000116786
297,CRYZ,ENSG00000116791
298,PHTF1,ENSG00000116793
299,ZBTB17,ENSG00000116809
300,CD58,ENSG00000116815
301,TFAP2E,ENSG00000116819
302,CD2,ENSG00000116824
303,TTF2,ENSG00000116830
304,NR5A2,ENSG00000116833
305,KIF21B,ENSG00000116852
306,TMEM9,ENSG00000116857
307,ADPRHL2,ENSG00000116863
308,MAP7D1,ENSG00000116871
309,WARS2,ENSG00000116874
310,HAO2,ENSG00000116882
311,AL591845.1,ENSG00000116883
312,OSCP1,ENSG00000116885
313,MRPS15,ENSG00000116898
314,EXOC8,ENSG00000116903
315,GNPAT,ENSG00000116906
316,TSNAX,ENSG00000116918
317,C1orf109,ENSG00000116922
318,RRAGC,ENSG00000116954
319,TBCE,ENSG00000116957
320,NID1,ENSG00000116962
321,LGALS8,ENSG00000116977
322,NT5C1A,ENSG00000116981
323,HPCAL4,ENSG00000116983
324,MTR,ENSG00000116984
325,BMP8B,ENSG00000116985
326,MYCL1,ENSG00000116990
327,SIPA1L2,ENSG00000116991
328,ZP4,ENSG00000116996
329,RLF,ENSG00000117000
330,KMO,ENSG00000117009
331,ZNF684,ENSG00000117010
332,KCNQ4,ENSG00000117013
333,RIMS3,ENSG00000117016
334,AKT3,ENSG00000117020
335,ETV3,ENSG00000117036
336,ACADM,ENSG00000117054
337,ST6GALNAC5,ENSG00000117069
338,SLAMF1,ENSG00000117090
339,CD48,ENSG00000117091
340,LPHN2,ENSG00000117114
341,PADI2,ENSG00000117115
342,SDHB,ENSG00000117118
343,MFAP2,ENSG00000117122
344,RPF1,ENSG00000117133
345,KDM5B,ENSG00000117139
346,UAP1,ENSG00000117143
347,ACTL8,ENSG00000117148
348,CTBS,ENSG00000117151
349,RGS4,ENSG00000117152
350,KLHL12,ENSG00000117153
351,IGSF21,ENSG00000117154
352,SSX2IP,ENSG00000117155
353,ZNHIT6,ENSG00000117174
354,PLA2G2D,ENSG00000117215
355,RBBP5,ENSG00000117222
356,GBP3,ENSG00000117226
357,GBP1,ENSG00000117228
358,RP11-401M16.7,ENSG00000117242
359,KIF17,ENSG00000117245
360,GPR89A,ENSG00000117262
361,PCTK3,ENSG00000117266
362,RAB7L1,ENSG00000117280
363,CD160,ENSG00000117281
364,TXNIP,ENSG00000117289
365,ECE1,ENSG00000117298
366,HMGCL,ENSG00000117305
367,GALE,ENSG00000117308
368,ID3,ENSG00000117318
369,CR2,ENSG00000117322
370,CD46,ENSG00000117335
371,PRPF3,ENSG00000117360
372,APH1A,ENSG00000117362
373,LEPRE1,ENSG00000117385
374,SLC2A1,ENSG00000117394
375,EBNA1BP2,ENSG00000117395
376,CDC20,ENSG00000117399
377,MPL,ENSG00000117400
378,ARTN,ENSG00000117407
379,IPO13,ENSG00000117408
380,ATP6V0B,ENSG00000117410
381,B4GALT2,ENSG00000117411
382,ERI3,ENSG00000117419
383,PTCH2,ENSG00000117425
384,AKR1A1,ENSG00000117448
385,PRDX1,ENSG00000117450
386,PIK3R3,ENSG00000117461
387,TSPAN1,ENSG00000117472
388,BLZF1,ENSG00000117475
389,C1orf114,ENSG00000117477
390,SLC19A2,ENSG00000117479
391,FAAH,ENSG00000117480
392,NSUN4,ENSG00000117481
393,TMED5,ENSG00000117500
394,C1orf129,ENSG00000117501
395,DR1,ENSG00000117505
396,FMO6P,ENSG00000117507
397,CNN3,ENSG00000117519
398,BAT2D1,ENSG00000117523
399,F3,ENSG00000117525
400,ABCD3,ENSG00000117528
401,VAMP4,ENSG00000117533
402,DPH5,ENSG00000117543
403,FASLG,ENSG00000117560
404,PTBP2,ENSG00000117569
405,TNFSF4,ENSG00000117586
406,PRDX6,ENSG00000117592
407,DARS2,ENSG00000117593
408,HSD11B1,ENSG00000117594
409,IRF6,ENSG00000117595
410,C1orf107,ENSG00000117597
411,RP11-254O21.1,ENSG00000117598
412,RP4-788L13.1,ENSG00000117600
413,SERPINC1,ENSG00000117601
414,RCAN3,ENSG00000117602
415,SYF2,ENSG00000117614
416,C1orf63,ENSG00000117616
417,SLC35A3,ENSG00000117620
418,RCOR3,ENSG00000117625
419,STMN1,ENSG00000117632
420,FAM54B,ENSG00000117640
421,MAN1C1,ENSG00000117643
422,NEK2,ENSG00000117650
423,RPS6KA1,ENSG00000117676
424,DHDDS,ENSG00000117682
425,NENF,ENSG00000117691
426,NSL1,ENSG00000117697
427,PROX1,ENSG00000117707
428,ARID1A,ENSG00000117713
429,CENPF,ENSG00000117724
430,RPA2,ENSG00000117748
431,PPP1R8,ENSG00000117751
432,STX12,ENSG00000117758
433,MOSC2,ENSG00000117791
434,SLC5A9,ENSG00000117834
435,OSBPL9,ENSG00000117859
436,TXNDC12,ENSG00000117862
437,KIF14,ENSG00000118193
438,TNNT2,ENSG00000118194
439,DDX59,ENSG00000118197
440,CAMSAP1L1,ENSG00000118200
441,ATF6,ENSG00000118217
442,C1orf54,ENSG00000118292
443,CA14,ENSG00000118298
444,ANKRD13C,ENSG00000118454
445,SGIP1,ENSG00000118473
446,DCLRE1B,ENSG00000118655
447,CASQ2,ENSG00000118729
448,OLFM3,ENSG00000118733
449,RAB3GAP2,ENSG00000118873
450,C1orf198,ENSG00000119280
451,TRIM67,ENSG00000119283
452,HEATR1,ENSG00000119285
453,CSF3R,ENSG00000119535
454,TNN,ENSG00000120332
455,MRPS14,ENSG00000120333
456,CENPL,ENSG00000120334
457,TNFSF18,ENSG00000120337
458,SEC16B,ENSG00000120341
459,GORAB,ENSG00000120370
460,TAF12,ENSG00000120656
461,NPPB,ENSG00000120937
462,UBIAD1,ENSG00000120942
463,TARDBP,ENSG00000120948
464,TNFRSF8,ENSG00000120949
465,PRAMEF2,ENSG00000120952
466,ECHDC2,ENSG00000121310
467,RGSL1,ENSG00000121446
468,LHX4,ENSG00000121454
469,RNF2,ENSG00000121481
470,C1orf25,ENSG00000121486
471,GJA8,ENSG00000121634
472,PPPDE1,ENSG00000121644
473,BAI2,ENSG00000121753
474,HCRTR1,ENSG00000121764
475,ZCCHC17,ENSG00000121766
476,FABP3,ENSG00000121769
477,KHDRBS1,ENSG00000121774
478,TMEM39B,ENSG00000121775
479,RNF115,ENSG00000121848
480,POLR3GL,ENSG00000121851
481,TMEM54,ENSG00000121900
482,ZSCAN20,ENSG00000121903
483,CSMD2,ENSG00000121904
484,HPCA,ENSG00000121905
485,C1orf103,ENSG00000121931
486,ADORA3,ENSG00000121933
487,CLCC1,ENSG00000121940
488,GPSM2,ENSG00000121957
489,FMOD,ENSG00000122176
490,MYOG,ENSG00000122180
491,LAX1,ENSG00000122188
492,COPA,ENSG00000122218
493,CD244,ENSG00000122223
494,LY9,ENSG00000122224
495,RPL5,ENSG00000122406
496,ODF2L,ENSG00000122417
497,PTGFR,ENSG00000122420
498,SPATA1,ENSG00000122432
499,CCDC76,ENSG00000122435
500,LRRC39,ENSG00000122477
501,RWDD3,ENSG00000122481
502,ZNF644,ENSG00000122482
503,CCDC18,ENSG00000122483
504,RPAP2,ENSG00000122484
505,NBPF14,ENSG00000122497
506,CDKN2C,ENSG00000123080
507,RNF11,ENSG00000123091
508,ATPAF1,ENSG00000123472
509,STIL,ENSG00000123473
510,LPGAT1,ENSG00000123684
511,BATF3,ENSG00000123685
512,G0S2,ENSG00000123689
513,PFKFB2,ENSG00000123836
514,C4BPA,ENSG00000123838
515,C4BPB,ENSG00000123843
516,MSTO1,ENSG00000125459
517,C1orf61,ENSG00000125462
518,ATG4C,ENSG00000125703
519,HNRNPR,ENSG00000125944
520,ZNF436,ENSG00000125945
521,PSMB2,ENSG00000126067
522,EIF2C3,ENSG00000126070
523,UROD,ENSG00000126088
524,ST3GAL3,ENSG00000126091
525,TMEM53,ENSG00000126106
526,HECTD3,ENSG00000126107
527,DNAJC8,ENSG00000126698
528,AHDC1,ENSG00000126705
529,IFI6,ENSG00000126709
530,CPSF3L,ENSG00000127054
531,RGS13,ENSG00000127074
532,HIVEP3,ENSG00000127124
533,PPCS,ENSG00000127125
534,EDN2,ENSG00000127129
535,C1orf135,ENSG00000127423
536,KIAA0090,ENSG00000127463
537,PLA2G5,ENSG00000127472
538,UBR4,ENSG00000127481
539,HP1BP3,ENSG00000127483
540,MACF1,ENSG00000127603
541,CCDC21,ENSG00000130695
542,ARHGEF16,ENSG00000130762
543,LRRC47,ENSG00000130764
544,SESN2,ENSG00000130766
545,SMPDL3B,ENSG00000130768
546,ATPIF1,ENSG00000130770
547,MED18,ENSG00000130772
548,C1orf38,ENSG00000130775
549,UBE4B,ENSG00000130939
550,CASZ1,ENSG00000130940
551,GJA9,ENSG00000131233
552,CAP1,ENSG00000131236
553,PPT1,ENSG00000131238
554,ACAP3,ENSG00000131584
555,C1orf159,ENSG00000131591
556,CA6,ENSG00000131686
557,NPHP4,ENSG00000131697
558,CHD1L,ENSG00000131778
559,PEX11B,ENSG00000131779
560,FMO5,ENSG00000131781
561,PIAS3,ENSG00000131788
562,PRKAB2,ENSG00000131791
563,RBM8A,ENSG00000131795
564,NR0B2,ENSG00000131910
565,LIN28,ENSG00000131914
566,SPATA6,ENSG00000132122
567,LRRC41,ENSG00000132128
568,FCRLA,ENSG00000132185
569,HSD17B7,ENSG00000132196
570,ZRANB2,ENSG00000132485
571,DAP3,ENSG00000132676
572,RHBG,ENSG00000132677
573,KIAA0907,ENSG00000132680
574,ATP1A4,ENSG00000132681
575,NES,ENSG00000132688
576,BCAN,ENSG00000132692
577,CRP,ENSG00000132693
578,ARHGEF11,ENSG00000132694
579,RAB25,ENSG00000132698
580,HAPLN2,ENSG00000132702
581,APCS,ENSG00000132703
582,FCRL2,ENSG00000132704
583,DCAF8,ENSG00000132716
584,SYT11,ENSG00000132718
585,MMACHC,ENSG00000132763
586,DPH2,ENSG00000132768
587,TOE1,ENSG00000132773
588,NASP,ENSG00000132780
589,MUTYH,ENSG00000132781
590,INADL,ENSG00000132849
591,KANK4,ENSG00000132854
592,ANGPTL3,ENSG00000132855
593,FBXO44,ENSG00000132879
594,C1orf89,ENSG00000132881
595,CASP9,ENSG00000132906
596,CHRM3,ENSG00000133019
597,CHI3L1,ENSG00000133048
598,MYBPH,ENSG00000133055
599,PIK3C2B,ENSG00000133056
600,DSTYK,ENSG00000133059
601,CHIT1,ENSG00000133063
602,SLC41A1,ENSG00000133065
603,LGR6,ENSG00000133067
604,TMCC2,ENSG00000133069
605,EPHB2,ENSG00000133216
606,SRRM1,ENSG00000133226
607,GNAT2,ENSG00000134183
608,GSTM1,ENSG00000134184
609,PRPF38B,ENSG00000134186
610,REG4,ENSG00000134193
611,TSPAN2,ENSG00000134198
612,TSHB,ENSG00000134200
613,GSTM5,ENSG00000134201
614,GSTM3,ENSG00000134202
615,SYT6,ENSG00000134207
616,VAV3,ENSG00000134215
617,CHIA,ENSG00000134216
618,PSRC1,ENSG00000134222
619,HMGCS2,ENSG00000134240
620,PTPN22,ENSG00000134242
621,SORT1,ENSG00000134243
622,WNT2B,ENSG00000134245
623,PTGFRN,ENSG00000134247
624,HBXIP,ENSG00000134248
625,ADAM30,ENSG00000134249
626,NOTCH2,ENSG00000134250
627,TRIM45,ENSG00000134253
628,CEPT1,ENSG00000134255
629,CD101,ENSG00000134256
630,VTCN1,ENSG00000134258
631,NGF,ENSG00000134259
632,AP4B1,ENSG00000134262
633,CFHR4,ENSG00000134365
634,NAV1,ENSG00000134369
635,CDC73,ENSG00000134371
636,TIMM17A,ENSG00000134375
637,CRB1,ENSG00000134376
638,CFHR5,ENSG00000134389
639,PUM1,ENSG00000134644
640,SPOCD1,ENSG00000134668
641,YARS,ENSG00000134684
642,PHC2,ENSG00000134686
643,CDCA8,ENSG00000134690
644,GNL2,ENSG00000134697
645,EIF2C4,ENSG00000134698
646,HOOK1,ENSG00000134709
647,CYP2J2,ENSG00000134716
648,BTF3L4,ENSG00000134717
649,ZCCHC11,ENSG00000134744
650,PRPF38A,ENSG00000134748
651,AGT,ENSG00000135744
652,ZNF670,ENSG00000135747
653,PCNXL2,ENSG00000135749
654,KCNK1,ENSG00000135750
655,URB2,ENSG00000135763
656,EGLN1,ENSG00000135766
657,CAPN9,ENSG00000135773
658,COG2,ENSG00000135775
659,ABCB10,ENSG00000135776
660,C1orf57,ENSG00000135778
661,TAF5L,ENSG00000135801
662,GLUL,ENSG00000135821
663,STX6,ENSG00000135823
664,RGS8,ENSG00000135824
665,RNASEL,ENSG00000135828
666,DHX9,ENSG00000135829
667,KIAA1614,ENSG00000135835
668,CEP350,ENSG00000135837
669,NPL,ENSG00000135838
670,FAM129A,ENSG00000135842
671,PIGC,ENSG00000135845
672,ACBD6,ENSG00000135847
673,LAMC1,ENSG00000135862
674,RC3H1,ENSG00000135870
675,EPRS,ENSG00000136628
676,HLX,ENSG00000136630
677,VPS45,ENSG00000136631
678,IL10,ENSG00000136634
679,KCTD3,ENSG00000136636
680,RPS6KC1,ENSG00000136643
681,RASSF5,ENSG00000136653
682,BCAR3,ENSG00000137936
683,TTLL7,ENSG00000137941
684,FNBP1L,ENSG00000137942
685,CCBL2,ENSG00000137944
686,GTF2B,ENSG00000137947
687,BRDT,ENSG00000137948
688,RABGGTB,ENSG00000137955
689,IFI44L,ENSG00000137959
690,GIPC2,ENSG00000137960
691,ARHGAP29,ENSG00000137962
692,IFI44,ENSG00000137965
693,SLC44A5,ENSG00000137968
694,RP11-122C9.1,ENSG00000137970
695,CLCA2,ENSG00000137975
696,DNASE2B,ENSG00000137976
697,DBT,ENSG00000137992
698,RTCD1,ENSG00000137996
699,IL19,ENSG00000142224
700,SLC2A5,ENSG00000142583
701,RERE,ENSG00000142599
702,MMEL1,ENSG00000142606
703,C1orf222,ENSG00000142609
704,PRDM16,ENSG00000142611
705,CELA2A,ENSG00000142615
706,PADI3,ENSG00000142619
707,FHAD1,ENSG00000142621
708,PADI1,ENSG00000142623
709,EPHA2,ENSG00000142627
710,ARHGEF19,ENSG00000142632
711,EFHD2,ENSG00000142634
712,PEX14,ENSG00000142655
713,PGD,ENSG00000142657
714,MYOM3,ENSG00000142661
715,SH3BGRL3,ENSG00000142669
716,CNKSR1,ENSG00000142675
717,RPL11,ENSG00000142676
718,IL22RA1,ENSG00000142677
719,ZNF593,ENSG00000142684
720,C1orf216,ENSG00000142686
721,KIAA0319L,ENSG00000142687
722,FAM176B,ENSG00000142694
723,C1orf94,ENSG00000142698
724,DMRTA2,ENSG00000142700
725,MAP3K6,ENSG00000142733
726,FCN3,ENSG00000142748
727,GPN2,ENSG00000142751
728,SYTL1,ENSG00000142765
729,WDTC1,ENSG00000142784
730,CELA3A,ENSG00000142789
731,NBPF3,ENSG00000142794
732,HSPG2,ENSG00000142798
733,ITGB3BP,ENSG00000142856
734,SERBP1,ENSG00000142864
735,BCL10,ENSG00000142867
736,CYR61,ENSG00000142871
737,PRKACB,ENSG00000142875
738,PIGK,ENSG00000142892
739,TINAGL1,ENSG00000142910
740,ADC,ENSG00000142920
741,RPS8,ENSG00000142937
742,KIF2C,ENSG00000142945
743,PTPRF,ENSG00000142949
744,BEST4,ENSG00000142959
745,MOBKL2C,ENSG00000142961
746,CYP4B1,ENSG00000142973
747,TMEM61,ENSG00000143001
748,DMRTB1,ENSG00000143006
749,LMO4,ENSG00000143013
750,SYPL2,ENSG00000143028
751,BARHL2,ENSG00000143032
752,MTF2,ENSG00000143033
753,SLC44A3,ENSG00000143036
754,IGSF3,ENSG00000143061
755,ZNF697,ENSG00000143067
756,CTTNBP2NL,ENSG00000143079
757,FAM40A,ENSG00000143093
758,KCNA10,ENSG00000143105
759,PSMA5,ENSG00000143106
760,FNDC7,ENSG00000143107
761,C1orf162,ENSG00000143110
762,CD53,ENSG00000143119
763,PROK1,ENSG00000143125
764,CELSR2,ENSG00000143126
765,ITGA10,ENSG00000143127
766,GJA5,ENSG00000143140
767,GPR161,ENSG00000143147
768,ALDH9A1,ENSG00000143149
769,ATP1B1,ENSG00000143153
770,TIPRL,ENSG00000143155
771,NME7,ENSG00000143156
772,POGK,ENSG00000143157
773,BRP44,ENSG00000143158
774,CREG1,ENSG00000143162
775,DCAF6,ENSG00000143164
776,GPA33,ENSG00000143167
777,RXRG,ENSG00000143171
778,TBX19,ENSG00000143178
779,UCK2,ENSG00000143179
780,TMCO1,ENSG00000143183
781,XCL1,ENSG00000143184
782,XCL2,ENSG00000143185
783,POU2F1,ENSG00000143190
784,MAEL,ENSG00000143194
785,ILDR2,ENSG00000143195
786,DPT,ENSG00000143196
787,MGST3,ENSG00000143198
788,ADCY10,ENSG00000143199
789,RFWD2,ENSG00000143207
790,PVRL4,ENSG00000143217
791,UFC1,ENSG00000143222
792,PPOX,ENSG00000143224
793,FCGR2A,ENSG00000143226
794,NUF2,ENSG00000143228
795,RGS5,ENSG00000143248
796,SDHC,ENSG00000143252
797,PFDN2,ENSG00000143256
798,NR1I3,ENSG00000143257
799,USP21,ENSG00000143258
800,F13B,ENSG00000143278
801,PRCC,ENSG00000143294
802,FCRL5,ENSG00000143297
803,C1orf66,ENSG00000143303
804,MRPL24,ENSG00000143314
805,PIGM,ENSG00000143315
806,CASQ1,ENSG00000143318
807,ISG20L2,ENSG00000143319
808,CRABP2,ENSG00000143320
809,HDGF,ENSG00000143321
810,ABL2,ENSG00000143322
811,XPR1,ENSG00000143324
812,RGS16,ENSG00000143333
813,TOR1AIP1,ENSG00000143337
814,FAM163A,ENSG00000143340
815,HMCN1,ENSG00000143341
816,RGL1,ENSG00000143344
817,LYPLAL1,ENSG00000143353
818,LHX9,ENSG00000143355
819,PRUNE,ENSG00000143363
820,RORC,ENSG00000143365
821,TUFT1,ENSG00000143367
822,SF3B4,ENSG00000143368
823,ECM1,ENSG00000143369
824,ZNF687,ENSG00000143373
825,TARS2,ENSG00000143374
826,CGN,ENSG00000143375
